ASSET_ID,DESCRIPTION,STREET,SUBURB,LONGITUDE,LATITUDE
RA6099,1 LANE BOAT RAMP,GLENORA,WYNNUM,153.1741070110,-27.4357219773
RA6012,CANOE RAMP,WYNNUM RD,MURARRIE,153.1072280045,-27.4707006972
RA6010,CANOE RAMP,CHADWELL,CHANDLER,153.1842943695,-27.5015588066
RA6009,CANOE RAMP,FLEMING,TINGALPA,153.1270462946,-27.4620352654
RA6007,1 LANE BOAT RAMP,HILDA,CORINDA,152.9725035843,-27.5362731446
RA6004,CANOE RAMP,FURSDEN,TINGALPA,153.1167386125,-27.4863656611
RA6002,1 LANE BOAT RAMP,HILTON,EAST BRISBANE,153.0506522878,-27.4792100335
RA6001,CANOE RAMP,HILTON,EAST BRISBANE,153.0510267394,-27.4790654789
RA5002,4 LANE BOAT RAMP,NUDGEE,NUDGEE BEACH,153.1027958952,-27.3626563914
RA5001,1 LANE BOAT RAMP,WYAMPA,BALD HILLS,153.0351889426,-27.2989689540
RA2006,1 LANE BOAT RAMP,RIVERSIDE,WEST END,152.9963644024,-27.4875419757
RA2005,2 LANE BOAT RAMP,COBAR,LOTA,153.1928625252,-27.4741654383
RA2004,2 LANE BOAT RAMP,MT OMMANEY,JINDALEE,152.9286555232,-27.5294956807
RA2003,1 LANE BOAT RAMP,LOWER RIVER,KANGAROO POINT,153.0344660038,-27.4772288697
RA2002,2 LANE BOAT RAMP,COLMSLIE RESERVE,MORNINGSIDE,153.0832742994,-27.4491582805
RA2001,2 LANE BOAT RAMP,AQUARIUM,HEMMANT,153.1264639930,-27.4395379910
RA1005,2 LANE BOAT RAMP,RIVERSIDE,SOUTH BRISBANE,153.0099395233,-27.4723847476
RA1002,2 LANE BOAT RAMP,ROSS ST,NEWSTEAD,153.0439969411,-27.4411864241
RA1001,1 LANE BOAT RAMP,SANDGATE RD,ALBION,153.0422651812,-27.4374944354
RA1009,BOAT RAMP,Kirra St,PINKENBA,153.1395674209,-27.4173770171
RA6016,CANOE RAMP,OQUINN ST,NUDGEE BEACH,153.0977508218,-27.3449766906
RA6017,CANOE RAMP,QUAY ST,BULIMBA,153.0507690946,-27.4439460437
RA6018,CANOE RAMP,FORTITUDE ST,NUDGEE BEACH,153.1010283623,-27.3434897109
RA6019,CANOE RAMP,STANTON RD,TINGALPA,153.1137967406,-27.4830759089
RA1007,2 LANE BOAT RAMP,JETTY ST,SHORNCLIFFE,153.0862960949,-27.3296554668
RA1010,BOAT RAMP,FIG TREE POCKET RD,FIG TREE POCKET,152.9736862850,-27.5418712975
RA1006,BOAT RAMP,ALLPASS PDE,SHORNCLIFFE,153.0847923673,-27.3299504681
RA6013,CANOE RAMP,MOUNT OMMANEY DR,JINDALEE,152.9313238651,-27.5284865664
RA6014,CANOE RAMP,GRACEVILLE AVE,GRACEVILLE,152.9943143511,-27.5238895134
RA6015,CANOE RAMP,CURLEW ST,SANDGATE,153.0717952937,-27.3276557265
RA6020,CANOE RAMP,NUDGEE BEACH,NUDGEE BEACH,153.0930561194,-27.3444287406
RA6021,CANOE RAMP,NUDGEE BEACH,NUDGEE BEACH,153.0920058157,-27.3447775896
RA1011,BOAT RAMP,CARINGAL DR,KARANA DOWNS,152.8411695148,-27.5425942138
RA6022,CANOE RAMP,AUSTRAL ST,ST LUCIA,152.9977806226,-27.4918759084
RA6023,CANOE RAMP,KENDALL ST,OXLEY,152.9822515766,-27.5583303759
RA1012,SINGLE LANE BOAT RAMP,MEIERS RD,INDOOROOPILLY,153.0071409892,-27.5171985640
RA6024,CANOE RAMP,WYNNUM NORTH ESPLANADE,WYNNUM,153.1739923420,-27.4350176513
RA1013,1 LANE BOAT RAMP,BALD HILLS RD,BALD HILLS,153.0130516579,-27.3025996032
